,Adarb1(+),Atf3(+),Atf5(+),Bcl11b(+),Bhlhe41(+),Cebpa(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Egr2(+),Ehf(+),Ets1(+),Ezh2(+),Fhl2(+),Fosb(+),Foxm1(+),Gata6(+),Hes1(+),Hmgn3(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Maf(+),Mafb(+),Mef2c(+),Nfia(+),Nfib(+),Nfix(+),Nr1d1(+),Nr1h3(+),Nr2f2(+),Pax5(+),Pbx1(+),Pparg(+),Sox2(+),Sox4(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+)
Egr2(+),0.046875,0.08552631578947367,0.0,0.0,0.0703125,0.0,0.0,0.0,0.01666666666666672,0.19469026548672563,1.0,0.0,0.0547945205479452,0.02868852459016391,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.058558558558558516,0.0027472527472527375,0.0050000000000000044,0.0,0.0,0.06648199445983383,0.08495145631067957,0.0357142857142857,0.0,0.02941176470588236,0.0,0.04861111111111116,0.0,0.009803921568627416,0.0,0.10852713178294571,0.0,0.022556390977443663,0.08376963350785338,0.0,0.08053691275167785,0.08071748878923768
Ehf(+),0.0,0.0,0.012820512820512775,0.0,0.0036231884057971175,0.032258064516129004,0.07558139534883723,0.107981220657277,0.0,0.0,0.0,1.0,0.0,0.0239043824701195,0.023809523809523836,0.0,0.0,0.013157894736842146,0.015873015873015928,0.012820512820512775,0.1595092024539877,0.007082152974504208,0.1450617283950617,0.14364640883977897,0.0,0.032786885245901676,0.005141388174807249,0.0,0.008264462809917328,0.05084745762711862,0.013333333333333308,0.0444444444444444,0.0,0.10434782608695647,0.0,0.06989247311827962,0.0,0.22399999999999998,0.03649635036496346,0.004716981132075526,0.0,0.002049180327868827,0.006185567010309256
Ets1(+),0.0,0.06043956043956045,0.0,0.018867924528301883,0.04861111111111116,0.0,0.004273504273504258,0.0,0.044642857142857095,0.11695906432748537,0.0547945205479452,0.0,1.0,0.04421768707482998,0.014925373134328401,0.09638554216867468,0.007633587786259555,0.0,0.0,0.03200000000000003,0.0046948356807511304,0.0886981402002861,0.004773269689737458,0.00390625,0.12068965517241381,0.018018018018018056,0.04750593824228033,0.08405172413793105,0.023809523809523836,0.011627906976744207,0.016129032258064502,0.014084507042253502,0.009756097560975618,0.023121387283236983,0.19548872180451127,0.024691358024691357,0.05230769230769228,0.015000000000000013,0.037837837837837784,0.06910569105691056,0.19491525423728817,0.04660194174757282,0.044660194174757306
Ezh2(+),0.00917431192660545,0.04094827586206895,0.018018018018018056,0.004901960784313708,0.14169381107491852,0.03431372549019607,0.03105590062111796,0.018617021276595702,0.0,0.006993006993006978,0.02868852459016391,0.0239043824701195,0.04421768707482998,1.0,0.0495495495495496,0.04104477611940294,0.1280788177339901,0.08212560386473433,0.014423076923076872,0.018018018018018056,0.04790419161676651,0.1594594594594595,0.04016064257028118,0.0535714285714286,0.017937219730941756,0.004784688995215336,0.11157024793388426,0.11317254174397029,0.17982456140350878,0.1581196581196581,0.06698564593301437,0.012605042016806678,0.044673539518900296,0.1322314049586777,0.007874015748031482,0.1495016611295681,0.158311345646438,0.05633802816901412,0.14682539682539686,0.13207547169811318,0.030303030303030276,0.19999999999999996,0.18249534450651772
Fhl2(+),0.0,0.006451612903225823,0.037735849056603765,0.0,0.0037878787878787845,0.052631578947368474,0.03870967741935483,0.024154589371980673,0.0,0.008620689655172376,0.0,0.023809523809523836,0.014925373134328401,0.0495495495495496,1.0,0.0,0.0,0.06000000000000005,0.052631578947368474,0.01851851851851849,0.05044510385756673,0.004385964912280715,0.048338368580060465,0.028089887640449396,0.03703703703703709,0.08333333333333337,0.008241758241758212,0.004683840749414525,0.02083333333333337,0.09890109890109888,0.0,0.02941176470588236,0.0,0.10752688172043012,0.0,0.07361963190184051,0.01132075471698113,0.10256410256410253,0.04424778761061943,0.010695187165775444,0.046875,0.004319654427645814,0.0043290043290042934
Fosb(+),0.03260869565217395,0.1511254019292605,0.0,0.0,0.06666666666666665,0.0,0.0,0.0038910505836575737,0.0,0.3252032520325203,0.125,0.0,0.09638554216867468,0.04104477611940294,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05924855491329484,0.0025510204081632404,0.013274336283185861,0.0,0.0,0.06718346253229979,0.06981981981981977,0.06666666666666665,0.0,0.053763440860215006,0.0,0.011299435028248594,0.0,0.03149606299212604,0.0,0.07903780068728528,0.0,0.04458598726114649,0.0444444444444444,0.027272727272727226,0.07578947368421052,0.0736842105263158
Foxm1(+),0.0,0.0,0.020000000000000018,0.0,0.01740812379110257,0.02857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.007633587786259555,0.1280788177339901,0.0,0.0,1.0,0.0,0.0,0.0,0.005747126436781658,0.036418816388467334,0.0029239766081871066,0.02285714285714291,0.0,0.0,0.028328611898016942,0.01674641148325362,0.03296703296703296,0.0,0.021276595744680882,0.0,0.0,0.020618556701030966,0.0,0.011834319526627168,0.03125,0.03305785123966942,0.008849557522123908,0.016483516483516536,0.0,0.04535147392290251,0.040723981900452455
Gata6(+),0.0,0.0,0.045454545454545414,0.0,0.003853564547206201,0.06896551724137934,0.04109589041095896,0.0,0.0,0.0,0.0,0.013157894736842146,0.0,0.08212560386473433,0.06000000000000005,0.0,0.0,1.0,0.06896551724137934,0.022222222222222254,0.017699115044247815,0.00295857988165682,0.01501501501501501,0.0,0.021739130434782594,0.03448275862068961,0.0028011204481792618,0.0,0.09876543209876543,0.15189873417721522,0.07499999999999996,0.01666666666666672,0.008130081300813052,0.09302325581395354,0.013333333333333308,0.09933774834437081,0.031872509960159334,0.04347826086956519,0.12371134020618557,0.011235955056179803,0.0,0.0066225165562914245,0.004415011037527616
Hes1(+),0.0,0.0,0.0,0.0,0.0019723865877712132,0.0,0.022058823529411797,0.010638297872340385,0.0,0.0,0.0,0.015873015873015928,0.0,0.014423076923076872,0.052631578947368474,0.0,0.0,0.06896551724137934,1.0,0.03125,0.012195121951219523,0.001506024096385561,0.012461059190031154,0.012578616352201255,0.0,0.0,0.0029069767441860517,0.004938271604938316,0.013333333333333308,0.05405405405405406,0.0,0.021276595744680882,0.0,0.051948051948051965,0.0,0.047945205479452024,0.0,0.03883495145631066,0.021276595744680882,0.0,0.046511627906976716,0.0,0.0
Hmgn3(+),0.0,0.009933774834437137,0.0,0.0,0.0038387715930902067,0.0,0.0,0.004901960784313708,0.0,0.0,0.0,0.012820512820512775,0.03200000000000003,0.018018018018018056,0.01851851851851849,0.0,0.0,0.022222222222222254,0.03125,1.0,0.029673590504451064,0.011904761904761862,0.017964071856287456,0.005714285714285672,0.02083333333333337,0.06666666666666665,0.0027855153203342198,0.004761904761904745,0.03409090909090906,0.033333333333333326,0.022727272727272707,0.016129032258064502,0.008000000000000007,0.04347826086956519,0.0,0.04347826086956519,0.011627906976744207,0.051724137931034475,0.02777777777777779,0.016759776536312887,0.03448275862068961,0.00659340659340657,0.0066079295154185536
