TF,target,importance
H2afz,Cdca3,6.512583025197883
Dnmt3a,Cd163l1,6.504019801054711
Msi2,Rbms3,6.49604722289226
Foxq1,Spc24,6.4914535707995755
Arg1,Pls3,6.486402480439385
Egr1,Gadd45a,6.479858154404019
Dab2,Tfec,6.4757842954327165
Irf7,Pmaip1,6.475497324319187
Dab2,Pld4,6.466010384476634
Irf7,Csrp1,6.4630564718859835
Irf8,Pld3,6.452497200040939
Foxq1,Cdo1,6.450862906154623
Irf7,Cldn23,6.436998220887008
Ebf1,Igkc,6.430893375226822
Mafb,Mfge8,6.423008566706498
Yod1,Cxcl2,6.416292569059312
Ezh2,Col14a1,6.412959332570429
Dnmt3a,Fam198b,6.405384504193091
Irf8,Plxnd1,6.401249770874015
Irf8,Dst,6.39345292599675
Zeb2,Hcar2,6.385823270129112
Ezh2,Col1a2,6.384763219765789
Dbp,Tmeff2,6.379136303639374
Egr1,F630028O10Rik,6.352926246569324
Pou2af1,Tnfrsf13c,6.335218315962361
Mafb,Syngr1,6.324856686943309
Id2,Atp6v1c1,6.3223946085151175
Ar,Ggt1,6.315984544519125
Bcl11b,Trbc1,6.313670791034002
Arg1,Nupr1,6.3126114504235895
H2afz,Stmn1,6.302194099873167
Ikzf3,Bcl11b,6.286608290440096
Mef2c,Mzb1,6.2770717299367025
Ehf,Gpx8,6.276281148683782
Foxm1,Kif4,6.275133829384253
Bcl11b,Ctsw,6.273241216957098
Irf8,Ctsf,6.266311626759819
Irf7,Hsd17b2,6.25253494313123
Irf7,Ly6c1,6.245463466709114
Tagln2,Cox6a2,6.238702472049271
Mxd3,Spag5,6.2121446129693245
Bcl11b,Tcrg-C1,6.209277371958202
Irf7,Ly6i,6.199373271858071
Tfec,Abcd2,6.195682193823507
Foxm1,Ccnb1,6.176818909677644
Ezh2,Id3,6.175667740823158
Arg1,Slco2a1,6.164732270637388
Ebf1,Gm15987,6.161607557167305
Ezh2,Lrr1,6.161263888804775
Id2,Spdl1,6.160978291624947
Ebf1,H2-DMb2,6.157831092101215
Nfia,Gsta3,6.155472081518844
H2afz,S100a10,6.154821369712444
Mafb,Pltp,6.154341973065281
Arg1,Mcm7,6.150705910027769
Gata6,Afp,6.1504246535702825
Tagln2,Ramp2,6.145569989503538
Arg1,Plac8,6.128425676133088
Dab2,Selenop,6.1207251326790715
Ikzf3,Thy1,6.117249675685607
Odc1,Akap12,6.117019920394233
Fhl2,Cfap53,6.1067763284792616
Irf8,Lrpap1,6.1052653982086635
Bhlhe41,Tnfsf12,6.101568611005381
Ehf,Mall,6.095143699716394
Dab2,Lgals1,6.094064246953978
Nfib,Alas2,6.091373317920885
Ahr,Idi1,6.089114011259932
Ikzf3,Slamf7,6.087795762337241
Anxa1,Epcam,6.083168811776066
Dab2,Sh3pxd2b,6.077544468936075
Dab2,Abcc5,6.076819226393106
Ehf,Spats2,6.067160839695086
Bcl11b,Cd28,6.055223216895936
Id2,Atf3,6.0439187958354985
Dnmt3a,Ttyh2,6.042273469394671
Mxd3,Fbxo5,6.038743438583678
Irf7,Plpp1,6.034563800478923
