TF,target,importance
Zeb2,Ifitm3,7.766270560298073
Mafb,Lyz2,7.74733556023826
Canx,Ctsc,7.7347706781818255
H2afz,Knstrn,7.73336647076574
Mafb,Ccr2,7.728916795527413
Ebf1,Ly6d,7.727725377392929
Nr2f2,Timp3,7.7235863305341335
Nme1,Ctss,7.721459451074273
Ets1,Lrg1,7.712987619249725
Mxd3,Kif20b,7.7040089738801445
Nr2f2,Mgp,7.699022677273411
H2afz,Ube2c,7.697850759705652
Irf8,Serpinb9,7.684849929289155
Id1,Fgfbp1,7.673246817216095
Atf3,Pmaip1,7.6619720814423955
Nr2f2,Hspg2,7.655482730033123
H2afz,Pclaf,7.653074660765162
Ahr,S100a4,7.6450465925844435
Atf3,Tgfbi,7.643280770675425
Hivep3,Cidea,7.640913955960878
Tcf7,Gm8369,7.640578607445612
Acaa1b,Spag11b,7.638060611164172
Lef1,Sh2d1a,7.634081626983156
Lef1,Bcl2,7.625722164810132
Mafb,Aprt,7.613702147873765
Tcf7,Cd3d,7.6075691264987215
Ehf,Clu,7.595178672868472
Nme1,S100a4,7.58468412524141
Egr1,Hist1h1c,7.5779924224463535
Foxm1,Cenpf,7.573309137224941
Canx,Rassf4,7.570096297365751
Canx,Chil3,7.569744881061233
Pou2af1,Mzb1,7.563137712391902
Pou2f2,Ctss,7.559038346596806
Tcf7,Lef1,7.531788440409532
Mxd3,Cdk1,7.507692158722399
Ets1,Gimap7,7.492297895975035
Ets1,Gimap4,7.487759457636846
Mafb,Ms4a6d,7.483197569429751
H2afz,Tpx2,7.465158534468735
Anxa1,Mmp8,7.459323020002668
Sox2,Tmc5,7.456091674652349
Nfib,Sparcl1,7.451513417328421
Acaa1b,Plet1,7.4241738486314075
Ets1,Ifitm3,7.417725919721567
Foxm1,Ncapd2,7.414142585264288
H2afz,Cenpa,7.408520148312809
Klf4,Crip1,7.401394781894565
Ehf,Gsta3,7.388871319891951
Pou2f2,Atp1a1,7.380709110426836
Irx3,Retnla,7.376956144972692
Anxa1,Csf2rb,7.374632586135012
Canx,Lamp1,7.368778547187128
Bhlhe41,Lpl,7.357045667954982
Irf8,Asah1,7.34959652359807
Sox2,Ckmt1,7.345399125700716
Klf4,Zeb2,7.338199659187499
Klf4,Lamp1,7.332493951963381
Nr2f2,Cp,7.320415413710202
Ahr,Ccr2,7.31603216062539
Gadd45a,Lcn2,7.316018482902784
Nkx2-1,Ptges,7.3142221522540085
Nme1,Itm2c,7.312485864050042
Canx,Pdia6,7.311351343754652
Bhlhe41,Cidec,7.309935782795288
Tcf7,Rps2,7.298299155881733
Anxa1,Osm,7.2945791786011585
Bhlhe41,Olr1,7.288957050200621
Ehf,Selenbp1,7.27574000663624
Fhl2,Hebp2,7.25623236250097
Nme1,Cops6,7.243355086115
Klf4,Pld4,7.241863056472087
Gadd45a,BC100530,7.2334561984362
Irf8,Hsp90b1,7.230211920865342
Ets1,Lat,7.22963461681896
Pou2f2,Cbfa2t3,7.228532434770221
Irf7,Ifit3,7.209832806430037
Ehf,Ces1d,7.208715312274153
Pparg,Bcl2a1d,7.195745168935263
Mxd3,Ska1,7.195419993381032
Foxm1,Knl1,7.160022470868336
Mafb,Pou2f2,7.159828496765896
Nr2f2,Bicc1,7.152503052554904
Pou2f2,Ceacam1,7.148416944361096
Irf8,Serpinb9b,7.143498784414515
Nfib,Pbx1,7.132901827872228
Ehf,Cldn10,7.125833298578596
Atf5,Apol9b,7.11486357094448
Nr2f2,Col1a2,7.104249291842766
Egr1,Dnajb1,7.100519601275752
Nfib,Fmo2,7.069297261012411
Nme1,Atp5g1,7.064264201259935
Irf8,Hexb,7.063298184627358
Ets1,Il18r1,7.051954470130791
Mxd3,Fbxo5,7.042644689521589
Bhlhe41,Abcg1,7.039004783328478
Pou2f2,Ctsb,7.038429833961945
H2afz,Cit,7.036308265020554
Nfib,C1ra,7.034438636502936
Ddit3,Prss27,7.021955724662631
Acaa1b,Ear2,7.021849858954991
Irf8,Slamf7,7.016145990611851
Ebf1,Vpreb3,7.0124645135152655
Arg1,Tln2,7.009245524347923
Lef1,Rpl3,7.008117810599174
Foxm1,Cdc20,7.005034630298304
Gadd45a,Gm5483,7.0036757465035295
H2afz,Kif11,6.997520246832975
Zeb2,Smpdl3a,6.995772874017668
Atf5,Gypa,6.991437726796461
Nfix,Adm,6.991316969507716
Lef1,Rps2,6.988224429875743
Anxa1,F630028O10Rik,6.977863171768553
Pou2f2,Rnase6,6.972060014364063
Tagln2,Crip1,6.965837604379307
Lmo2,Myh14,6.961232593857778
Nap1l1,Klhdc8a,6.959478966490636
Pou2f2,Clec4a3,6.942618476680974
Gadd45a,Il1f9,6.937250179698698
Ehf,S100g,6.936166138186388
H2afz,Cdca3,6.928541997657664
Irf8,Klra4,6.927513469806011
Lef1,Gm8369,6.924099773230191
Nfib,Cavin1,6.923827466147964
Ckmt1,Lama5,6.9188195985144585
Tcf7,mt-Nd1,6.918746698735969
Anxa1,G0s2,6.916244123383014
Nme1,Ndufc2,6.913202157660797
Bhlhe41,Ncoa4,6.9009183142745805
Gata6,Ltbp1,6.899218885292502
Bcl11b,Ptprcap,6.89912652183498
Nfib,C2,6.886388993137514
Mxd3,H2afx,6.886219616216055
Irf8,Nap1l1,6.881902615334004
Anxa1,Fech,6.875873809145242
Zeb2,Plac8,6.873946768333025
Gadd45a,Vamp5,6.870432904890053
Irf8,Mafb,6.863232561066758
Nr2f2,Fbln1,6.860225179002244
Irf8,Hexa,6.858218289569316
Pbx1,S100a3,6.857531286975258
Nme1,Cxcl2,6.843323076132571
Irf8,Grn,6.832395685386629
Ehf,Krt18,6.825476402367643
Irf8,Ndufa4,6.823647930833009
Nkx2-1,Sftpc,6.822328622256775
Nr2f2,Serping1,6.819990979782936
Cebpa,Chil3,6.8073947661883425
Ebf1,Ighm,6.8030193268800945
Anxa1,Acvrl1,6.78623893835838
Anxa1,Pi16,6.785083400660867
Zeb2,Cst3,6.780862346059136
Bhlhe41,AU020206,6.780815882008228
Anxa1,Rab27a,6.7571239708934225
Zeb2,Tspan8,6.756771183222134
Irf8,Lmo2,6.755956419315551
H2afz,H2afx,6.754976963846605
Lef1,Mllt3,6.753704860776748
Ebf1,Iglc1,6.746845747272502
Nme1,Esyt1,6.739287354755759
Mxd3,Hist1h1b,6.732305329522022
Irf8,Ccl9,6.71224172324932
Msi2,Mycl,6.711482182430771
Pax5,H2-DMb2,6.707464561535216
Canx,Calr,6.7046946466122135
Foxm1,Cdkn3,6.698196993345132
Bcl11b,Cd3g,6.69668577200528
Foxm1,Cit,6.6954450977624855
Foxm1,Esco2,6.686424182852666
Acaa1b,Spp1,6.683511466685096
Ebf1,Mzb1,6.682502618944409
Nfib,Plxdc2,6.672710080276261
Pou2af1,Ms4a1,6.671238206226076
Dab2,Stab1,6.670402315982573
Hspa5,9530059O14Rik,6.666074118798605
Ehf,Gpx2,6.665840899705338
Irf8,Cd68,6.654239781032461
Foxm1,Cdca2,6.652190884539253
Lef1,Trac,6.651834276239033
Pou2f2,Ctsc,6.651597894552709
Nfib,Rbms3,6.647198756227166
Pou2f2,Cybb,6.646667559278526
Nfib,Mmp2,6.6464853799479355
Tcf7,4930523C07Rik,6.645604686803291
Ckmt1,Clic3,6.641740644905248
Ets1,Wfdc21,6.631544392696206
Irf8,Fn1,6.626087398725938
Id2,Ighg1,6.620250798418401
Bhlhe41,Cd63,6.6193011489589475
Tcf7,Lat,6.617879574429098
Lef1,Foxq1,6.611465344777912
Anxa1,Hist1h1c,6.61049397712199
Anxa1,Itgb2,6.602745718368068
Nr2f2,Cavin3,6.598069483482616
Nme1,Pld4,6.594835820070635
Mef2c,Pld4,6.589540788838274
Acaa1b,Atp6v0d2,6.589274781020421
Irf8,Gatm,6.587598024397586
Ehf,Mall,6.582457586545348
Tcf7,Il7r,6.577115425421583
Nme1,Itgb7,6.576931539233642
Ebf1,Cd83,6.574512952615509
H2afz,Rrm2,6.571076604871739
Anxa1,Krt83,6.5709100701363985
Nr2f2,Gas6,6.570027356311635
Irf8,Rassf4,6.563429842874822
Ehf,Ptprf,6.555426530271537
Tcf7,Igfbp4,6.5529735131648055
Anxa1,Prok2,6.552725335023905
