TF,target,importance
Cebpa,Rassf4,6.778121301975658
Pou2f2,Cd300e,6.771232131427777
Tcf7l2,Lilra5,6.7663295790724005
Irf7,Ifit3b,6.763889347960601
Dab2,Anxa5,6.752059062695742
Atf3,Ccl2,6.750825061678379
Irf8,Cox6a2,6.74477973151615
Hspa5,Hbb-bt,6.73941999634788
Anxa1,Mmp8,6.725363408727858
Nfib,Rbp1,6.724524481932602
Atf3,Pmaip1,6.719921938377837
Pou2f2,Cbfa2t3,6.719065826803092
Nr4a2,Klre1,6.709228712008328
Pou2af1,H2-Aa,6.709199098949878
Nr1d1,Gprc5a,6.7042655708760135
Cebpa,Psap,6.694725948712289
Dbp,Ckmt1,6.691270386962928
Tcf7l2,Sirpa,6.690685329696448
Bcl11b,Il18r1,6.689095114857752
Foxm1,Nusap1,6.685133310407554
Mef2c,Iglc3,6.682898351153856
Mafb,Fn1,6.682287329788078
Tcf7,Ramp3,6.674264837548906
Sox2,Tff1,6.670077835068523
Anxa1,Tnf,6.669174875912113
Nfib,Gstt1,6.665548287783454
Anxa1,Stfa2,6.663051827933534
Sox2,Tspan1,6.650265209710265
Ets1,Nucks1,6.6405027815858855
Foxm1,Spag5,6.640329562542507
Pax5,Iglc3,6.633842166562862
Lef1,S1pr1,6.625125328366378
Anxa1,Hsd17b2,6.62398104109901
Mafb,Apoe,6.621352611751573
Anxa1,Dgat2,6.619702802745414
Tcf7,Klk8,6.6188892635727745
Maf,Icos,6.617040428995895
Sox2,Aldh1a1,6.611375492736916
Tfec,Spp1,6.610338637907088
Pax5,Gm31243,6.610220260741945
Tcf7,Lef1,6.608576947978008
Ets1,Crip1,6.603822659896395
Nfib,Arhgap29,6.597942491751012
Anxa1,Ly6g,6.596550711212457
Acaa1b,Pla2g15,6.595577832997545
Irf8,Atp1b1,6.587222489789531
Ebf1,Siglecg,6.581404440321648
Mafb,Csf1r,6.573793116831897
Ets1,Gimap3,6.570321703957933
Lef1,Pdlim4,6.556836242530971
Nr2f2,Bicc1,6.552580317227463
Mafb,Cx3cr1,6.548170774908327
Irf8,Ccr9,6.547127085268738
Tcf7,Ftl1,6.544872819339179
Ikzf2,Ank3,6.5410774502876965
H2afz,Ube2c,6.537436227617268
Nr2f2,Aebp1,6.534499005458864
Anxa1,Asprv1,6.53162701083886
Hspa5,Mall,6.530786993387876
Atf3,Gbp2,6.520708530888943
H2afz,Ccnf,6.516329241842714
Ebf1,Rasgrp3,6.512556138887303
Nr4a2,Klrb1c,6.5004691686956715
Nfix,Cidea,6.500277814148463
Cebpa,Tmem256,6.4919885386149945
Nfib,Dpysl3,6.487873630311542
Foxm1,Oasl1,6.4877804402690735
H2afz,Ncapg,6.487188497616586
Mef2c,Ighm,6.4862618442301745
Dbp,Tgfb2,6.485436279535846
Ebf1,Chchd10,6.478598723890028
Nr2f2,Adm,6.457987222533528
Mafb,Clec4a1,6.454460495327331
Nr2f2,Ltbp4,6.445183089092271
Nfib,Bgn,6.443555538197802
Nap1l1,Mxd3,6.438001826611986
Ebf1,Cd81,6.432062287576116
Pou2f2,Adgre4,6.415461510111757
Pou2f2,Ace,6.410095349595901
Nr2f2,Bgn,6.402418457740862
Nr2f2,Cfh,6.402376657296336
Bcl11b,Dusp10,6.388343423552181
Lmo2,Cd79a,6.3877735000151885
Egr1,Cd200r3,6.387516352483538
Anxa1,Csf2ra,6.371893788453689
Nfib,Igfbp5,6.361083773698582
Mafb,Fam46a,6.359431397122792
Dab2,Acaa1b,6.350352066690568
Nme1,Il1a,6.350144487207075
Egr2,Pla2g2d,6.344050372428496
H2afz,Ncapd2,6.338515502188932
Tfec,Clec1b,6.333921405149784
Mycl,Ccnd1,6.3318944085994415
Ebf1,Sdc4,6.327469156047977
Nr2f2,Sparc,6.32152507671619
Bcl11b,Tcf7,6.320012685072088
Nr2f2,Gstt1,6.318110000797112
Nr4a2,Gzma,6.318057737308964
Ebf1,Pxdc1,6.3151479039719804
Dab2,Ptms,6.310202292651999
Lef1,Ms4a6b,6.3000057891795
Egr1,C3ar1,6.298355536747247
Mafb,Gngt2,6.290518875577201
Atf3,Ifitm6,6.289628502162632
Mafb,F13a1,6.286692942427906
Ebf1,Cd55,6.286007410065379
Foxm1,Ncaph,6.284455300960445
Mycl,Flt3,6.280458810134727
Bcl11b,F2r,6.276293470103572
H2afz,Slamf7,6.271949164738561
Dnmt3a,Gabrp,6.262652319165155
Foxm1,Knl1,6.260720808002425
H2afz,Klrk1,6.257427394424107
Nfib,Cd34,6.256858301287625
Anxa1,Gimap3,6.256423272227326
Mxd3,Prr11,6.253935882923934
Nr2f2,Rbp4,6.253452975128889
Bhlhe41,1700003F12Rik,6.239392841641422
Nr2f2,Plpp3,6.238263666930294
Mafb,Aif1,6.237639420830487
Nr2f2,Ptprg,6.232599571741313
Nme1,Cops6,6.231076848844828
Acaa1b,Dbi,6.230487830759446
Adarb1,Nav2,6.229598865538071
Nfib,Nedd4,6.219517395488611
Tfec,4931406C07Rik,6.21253291186543
Sox2,Nkx2-1,6.211806182522649
Tfec,Adarb1,6.211136529184998
Nkx2-1,Bcam,6.2086488674194555
Lmo2,Igkc,6.201359326559216
Nfib,Plxdc2,6.187082199895296
Nfib,Limch1,6.183297011966646
H2afz,Emp3,6.180272216242619
Nfia,Bub1,6.177761857470158
Nkx2-1,S100g,6.175469541688151
Nfib,Fstl1,6.163642557268814
Ebf1,Vpreb3,6.157792038754933
Dbp,Slco2a1,6.157431753279574
Gadd45a,mt-Nd1,6.154295699402019
Tcf7,Trbc1,6.152947369908867
H2afz,Lgals1,6.150409082984413
Nr2f2,Loxl2,6.1471164913489975
Tcf7,mt-Nd1,6.146531185892117
Nfib,Ltbp1,6.143996639830583
Foxm1,Kif15,6.14164402072909
Adarb1,Bhlhe41,6.137071288059819
Lef1,Tcf7,6.130430670106731
Hes1,Nr4a1,6.130366970082407
Mecom,Cldn3,6.130063564592164
Nr2f2,Adamts2,6.1286422697517935
Pbx1,Arhgap29,6.122971103720023
Tfec,Fam57a,6.12022144666834
Tfec,Mgst3,6.106166548191829
Nr2f2,Rbp1,6.105628008632434
Elf5,Scgb1a1,6.09842023694099
Ebf1,Mef2c,6.093172919096596
Tfec,Flt1,6.09278009359393
Mafb,Cd93,6.089917340299333
Dnmt3a,Tgm1,6.086559385152791
Anxa1,Agap1,6.079048997005713
Nr1h3,S100g,6.078263471359431
Lef1,Apol7a,6.073486254810271
Ehf,Gpx2,6.070977030631325
Cebpa,Ctsc,6.07071465170796
Mafb,Emp1,6.064715292880148
Pou2f2,Ms4a6c,6.06428999296911
Hspa5,Slc4a1,6.063252252787137
Pou2f2,Ighm,6.062352938521641
Pax5,H2-Ab1,6.054344091595734
Mef2c,Cd83,6.053719162414172
Nap1l1,Ptrh1,6.050747948637209
Anxa1,Cfp,6.050693374245901
H2afz,Fbxo5,6.0481941057479425
Nr2f2,Gstm2,6.042088321327068
Ets1,AW112010,6.041252545806085
Tcf7l2,Psap,6.031332236610492
Anxa1,Vamp5,6.027661734792955
Mef2c,Snx5,6.014484398591925
Lmo2,H2-Ab1,6.009775560972802
Tfec,Hexa,6.006119377067803
Tcf7l2,Tfec,6.0052678364375165
Ets1,S1pr1,6.003902667029422
Ets1,Mgst1,5.995001560794843
Mecom,Rps6ka2,5.993149146626222
H2afz,Gzma,5.985226182312718
Foxm1,Prr11,5.984216545203564
Bcl11b,Gimap3,5.972908133048378
H2afz,Hba-a2,5.9659148331086
Irf7,Tff1,5.964839246775813
Ezh2,Tyms,5.9641242194073945
Ebf1,Lmo2,5.96278481277226
Nr2f2,Gas6,5.962705879291687
Ets1,Cd7,5.956307552514984
Mef2c,Ly86,5.951964219274973
Foxm1,Cit,5.946091071544739
Ets1,Gpr183,5.943306624975049
Nr2f2,Rbms3,5.940921226856663
Nfib,Fmo2,5.940651042710957
Gata6,Proser2,5.940484648966916
Anxa1,F5,5.931672307029159
Pou2f2,Pld4,5.920868288583524
Mycl,Ifi44,5.920771701520594
Nfib,Ddr2,5.920095249533172
Mxd3,Ube2c,5.920090847558796
Tcf7,S1pr1,5.916568714970895
Tcf7l2,Arhgap31,5.916169372606183
Bcl11b,Lrrc14b,5.914145492140528
Ehf,Calml3,5.909725322449985
Nr1h3,Fabp7,5.909018936668286
Mxd3,Spc25,5.902860132771589
Ckmt1,Ttc36,5.888710419481962
Nfib,Plpp3,5.8802734765256846
Tcf7,Rpl3,5.879811815348378
Foxm1,Hist1h1d,5.8795750755724105
Nr2f2,Mmp23,5.878222630881376
Adarb1,Slc27a1,5.87769212340611
Gadd45a,Wfdc17,5.873909448633475
H1fx,Cdkn3,5.873356997898652
Mxd3,Bok,5.8692867827103745
Acaa1b,S100a1,5.863703339224376
Lef1,Bex1,5.862531987684174
Bcl11b,Gimap6,5.8605077321781485
Maf,Ikzf2,5.854965528152191
Gadd45a,Lrg1,5.854036138963221
Ikzf2,Tnfrsf4,5.844811551783595
Anxa1,Ndrg1,5.84326150342588
Mef2c,Irf8,5.838685829866642
Pou2af1,Blnk,5.8379828628056805
Lmo2,H2-Aa,5.832807272369761
Atf3,Ehf,5.821275729111625
Foxm1,Kif4,5.820033669935389
Mef2c,Cd72,5.813344936399328
Maf,Tmem176b,5.812584382780966
Nfib,Adamts1,5.797218569866744
Mxd3,Ttk,5.797131525160843
Bcl11b,Pla2g16,5.790039355336415
Gadd45a,Gm5483,5.7850088308238075
Pou2f2,Smpdl3b,5.782723445646145
Pax5,Fcer2a,5.782679951322736
Adarb1,Klhdc8a,5.778803197346768
Mafb,Atf3,5.777616420027711
Nfib,Efemp1,5.7773270880977465
Pou2af1,Cdca2,5.770320780328815
Bcl11b,Dut,5.770168793152349
Ebf1,Bank1,5.767098969992573
Anxa1,Hmox1,5.757507749495326
Nfib,Igf1,5.750015657245881
Tfec,Ear2,5.749147287391814
H1fx,Ada,5.744777812026121
Irf8,Ctss,5.743758312984863
Irf8,Klre1,5.73716201499307
Id2,Dusp5,5.724116728230673
Anxa1,Il1f9,5.717958821548023
Tfec,Mertk,5.70813612342226
Nr2f2,Gpx3,5.707871632994842
Msi2,Olfr1369-ps1,5.706989289423856
Adarb1,Gns,5.693931338067956
Sox2,Wfdc1,5.691532125094946
Nr2f2,Plat,5.688028173942724
Nr2f2,Cavin3,5.687053780269542
Hmgn3,Cdo1,5.68614697225092
Nr2f2,Igfbp3,5.685633148978564
Foxm1,Iqgap3,5.683542688002693
Acaa1b,Akr1b3,5.68002080896431
Dab2,Spag11b,5.679725877889876
Tfec,Ly75,5.673040023919131
Hspa5,Derl3,5.671438310701093
Anxa1,Ccl6,5.66868191712859
Nr2f2,Ly6c1,5.660570296338354
Hspa5,Snca,5.65935883736389
Tfec,Pld3,5.658636189895536
Nr2f2,Rnase4,5.658558910204916
Ets1,Olfr1369-ps1,5.655583141955108
Acaa1b,Chil3,5.654477154056626
Egr1,Ier3,5.648877805059635
Mafb,Clec12a,5.648710019899256
Anxa1,Gpx1,5.646922503350718
