TF,target,importance
Ets1,Nkg7,6.652861562746009
Atf3,Cd200r3,6.633218082585844
Zeb2,Laptm5,6.617789907614971
Arg1,Rdh10,6.615946398625859
Arg1,Gsta4,6.607097216278096
Irf8,Blvra,6.604425226654352
Arg1,Krt80,6.597778549938386
Nfib,Ckap2l,6.588036640095792
Hivep3,Scn1b,6.587873330017335
Jdp2,Dnajb1,6.580718237023649
Irf8,Mafb,6.580151109200635
H2afz,Adgre4,6.5735201127922105
Irf7,Csf2rb,6.572778643373955
H2afz,Fermt2,6.557494512439513
Arg1,Jdp2,6.553354827635308
Irf8,Vwa5a,6.543484960839239
Irf7,Ppbp,6.530572815421906
Egr2,Tnfsf8,6.530133825329008
Irf7,Wfdc17,6.525826161773433
Hes1,Hist1h3c,6.496454039725963
Zeb2,Plcxd2,6.479558150644311
H2afz,Scara3,6.479044784240571
Bhlhe41,Lrp12,6.474033711323113
Id1,Steap4,6.471869944598842
Zeb2,Plin2,6.468599743678744
Irf7,Anxa1,6.465600354672119
Tcf7l2,Lmo4,6.462692510366445
Irf7,Epcam,6.45584396598982
Arg1,Spns3,6.4515700478496925
Irf7,Hspa5,6.449197290430281
Irf7,Tgfbi,6.441210705715424
Arg1,Hsd17b2,6.437111258843801
Mecom,Cldn10,6.4360297989980015
Zeb2,Cd274,6.43450875939444
Ezh2,Ttk,6.418916566662343
Bcl11b,Ets1,6.41566819603927
Ikzf3,Bcl2,6.4120069471302
Irf7,F10,6.410407648442355
Arg1,Dusp14,6.408551046713713
Ddit3,Hspa5,6.40574442905422
Ikzf3,Cd3d,6.395912549365685
Zbtb20,Tmem158,6.394654146114085
Id1,Ly6g,6.392302318695142
Arg1,Rbp1,6.383282210177951
Irf7,Oasl1,6.379371378526481
Tcf7l2,Jchain,6.3786590703104284
Hspa5,Hist1h3c,6.36761945884259
Mafb,Ms4a7,6.3624830217094805
Irf8,mt-Nd1,6.358082740809924
Irf7,Nupr1,6.35070861625186
Ehf,Wfdc18,6.3468522866473585
Gadd45a,Sapcd2,6.342861659092293
Hes1,Ier5l,6.337375277492134
Spats2,Ly6k,6.324357657212258
Tcf7,Lef1,6.3234626291655935
Nfib,Sgo1,6.322733086229274
Tcf7l2,Rnase6,6.310377463405212
Tcf7l2,Car4,6.302600712895577
Nr4a2,Arhgap29,6.292350274988913
Nr1d1,Gm4316,6.284829895626134
Ckmt1,Tmem176a,6.264657452925783
Lef1,Cd69,6.2640483560214495
Jdp2,Plet1,6.261396189086459
Dbp,Nr1d1,6.254459344889303
Ahr,Klre1,6.250431393567377
Zeb2,Creg1,6.245880700445619
Dab2,Spp1,6.2455437726455
Bcl11b,Bcl2,6.231792213145752
Irf7,Krt8,6.229175632589128
Tcf7l2,Serpine1,6.22254244629013
Zeb2,Ftl1,6.2126024847011925
Tcf7l2,Cdc42ep3,6.203317766048604
Bhlhe41,Myof,6.193306094731966
Irf7,Cldn7,6.186607517136599
Mecom,Akap12,6.1864999906514315
Dnmt3a,Aldh2,6.184624456931459
Arg1,2010109I03Rik,6.181160085338423
Tcf4,Spsb1,6.1811561444794165
Tcf7l2,Ly75,6.180203511458428
Dab2,Ffar2,6.1796246751572195
Ets1,Il2rb,6.173349782683613
Irf8,Lyz2,6.170738122534294
Hes1,Ckap2l,6.156395711417632
Tagln2,Cspg4,6.1426738281990145
Arg1,Ckmt1,6.1412331633447055
Bcl11b,Thy1,6.1374887105144875
Canx,Rad51ap1,6.1317547200771285
Irf7,AC168977.2,6.130335793321741
Zeb2,Cd63,6.128845288017676
Atf3,Serpine2,6.125113329250595
Mxd3,Prc1,6.124732515516987
Ebf1,Tspan11,6.106813044536206
Irf8,Nrp2,6.106165523172161
Mafb,Tmem37,6.106087510955365
Anxa1,Ifitm6,6.105935509855011
Id2,Ftl1,6.094595080465839
Zeb2,Hmox1,6.094432687989177
Hspa5,Bpgm,6.084531480086306
Ahr,Vldlr,6.07979679705723
Tagln2,Ncapg,6.065793302863961
Ckmt1,S100a10,6.065485974087302
Arg1,Mcm7,6.064736185177958
Irf7,Gpx1,6.064063872320231
Arg1,Fam57a,6.048018510916601
Foxm1,Tacc3,6.047702846860386
Ehf,Slc16a11,6.044593864713022
Hspa5,Hbb-bt,6.044418858601742
Id1,Cd177,6.044394215560982
Egr1,BC100530,6.041221316844373
Irf8,Tbxas1,6.041043869893354
Arg1,2610528A11Rik,6.040074213111401
Nfia,Rbms3,6.035882386849525
Ehf,Slc34a2,6.030637692400923
Id2,Rgs1,6.003550411698812
Arg1,Irf7,6.00002549875447
Jdp2,Lmo7,5.996685096010415
Mxd3,Cdca3,5.980085765863637
Hspa5,Tff1,5.978586874984952
Hspa5,Alas2,5.97665977075148
Bhlhe41,Fstl1,5.971488690474107
Arg1,Lmo7,5.967428965369626
Id2,Cd63,5.965594159015916
Odc1,Fabp3,5.963513434891305
Anxa1,Aqp5,5.960666675169214
Lmo2,Cmbl,5.95769873896943
Dab2,Ccl9,5.956544242694655
Irf8,Fcgrt,5.937545317066959
Dnmt3a,Parvb,5.9355381078007685
Egr1,Asprv1,5.9269747679346585
Jdp2,Plat,5.9187155740012445
Tcf4,Cep55,5.917716434789706
Pbx1,Htr2c,5.907991752243331
Gadd45a,Ifitm6,5.906685492207772
Irf7,C3,5.905999308446884
Elf5,Gsta3,5.89996153548121
Dnmt3a,Irf8,5.899111743614959
Adarb1,Kctd12b,5.89669491097034
Irf7,Gngt2,5.896665738133074
Lmo2,Lrrc14b,5.885920667405102
Irf8,Phf11b,5.878554658054191
Gata6,H1fx,5.8707706330317295
Ar,Gm8369,5.864885592688889
Yod1,Krt23,5.864140742793869
Bcl11b,Gimap1,5.859598554530466
Mafb,Selenom,5.856571153569794
Arg1,Capn5,5.856299801769256
Irf8,Smpdl3a,5.853733801152021
Foxq1,Fscn1,5.8484856905764735
Dnmt3a,Dlg3,5.848314877769957
Tcf7l2,Tns1,5.843091623200493
Jdp2,S100a16,5.841893945893298
Irf7,Hebp2,5.839938756773956
Foxm1,Asf1b,5.823656579907928
Jdp2,Mlph,5.821140376632909
Irf8,Crip1,5.820762111746932
Irf7,Fscn2,5.817022307388268
Hes1,Il23a,5.815443748170134
Pax5,Tnfrsf13c,5.810295917874907
Irf7,Chit1,5.808370567121809
Irf7,Parm1,5.807818048789285
Irf7,Emp1,5.8039383611574005
Zeb2,Ctsz,5.801251102009331
Ets1,Cxcr6,5.799236883090278
Tcf7l2,Ltc4s,5.795812246852333
Irf7,Chac1,5.794259923099563
Irf8,Trf,5.793207465293672
Mafb,Apoe,5.7931587708234975
Tagln2,Gpx1,5.789318449881821
Irf8,Clec12a,5.787864635707873
Zeb2,Ifrd1,5.782400153724964
Irf7,Acsl3,5.782058619083532
Nkx2-1,Tsc22d1,5.781693311371332
Maf,Vcan,5.776303315446903
Zeb2,Syne1,5.769866999752525
Irf7,Ndrg1,5.768488410677644
Ar,Thy1,5.762137062479884
Dnmt3a,Atp13a2,5.756538538009214
Lmo2,Dcstamp,5.755418403233921
Hes1,Cyr61,5.7496514071612115
Irf7,Fam110a,5.743393554982059
Zeb2,Fam20c,5.741859014562169
Irf8,Cd72,5.73822215620661
Irf7,Rdh10,5.73466582063956
Hspa5,Hba-a1,5.723547821133713
Ahr,Tnfrsf4,5.721045430589363
Arg1,Pdzk1ip1,5.714482775704617
Bhlhe41,Fabp7,5.710697026290299
Arg1,Gbp4,5.710031638931505
Ets1,Lef1,5.70739610599388
Nr4a2,Tnfrsf9,5.705764882752994
Mafb,Pltp,5.695039583471071
Ehf,Lgalsl,5.6940629883826785
Irf7,Ceacam1,5.693763199635951
Msi2,Cdkn1c,5.69043931051562
Irf8,Chpt1,5.668994791475811
Egr1,Osgin1,5.6676901488834215
Irf8,Fam96a,5.664276309725438
Bhlhe41,Evl,5.663376981245335
Gata6,Cdh11,5.661188826997607
Maf,Cxcl1,5.656430881682333
Acaa1b,Clec1b,5.647891365494335
Dnmt3a,Apbb2,5.647641298690391
Irf7,Scgb1a1,5.64253690299987
Bhlhe41,Hexa,5.637392173385678
Irf8,Dab2,5.634332428786707
Sox4,Adm,5.625739564690874
Anxa1,Ly6g,5.622805847019252
Dnmt3a,Slamf8,5.613337404567873
Ehf,Pdzk1ip1,5.612132723609924
Elf5,Tgm3,5.6039919758618915
Egr1,Stfa2l1,5.601546189061451
Egr1,Il1f9,5.600450570971787
Nr2f2,Olfr1369-ps1,5.581809990924387
H2afz,Coro2b,5.570905134208562
Ets1,Skap1,5.5681081254159475
Id2,Krt19,5.565335928719438
Las1l,Kif23,5.565326038492538
Irf8,Lyz1,5.564121106035674
Sox4,P4ha2,5.562433538929896
Zeb2,Gns,5.549240673497117
Irf8,Ccdc88a,5.53665314068218
Ets1,Cd28,5.533665115530387
Irf7,Arhgap29,5.53148027663646
Ar,Gzmb,5.5265874000928
Tcf7l2,Dock10,5.5189071409853465
Irf7,Wnt4,5.5130553194530885
Ets1,Pdcd1,5.5012945035899135
Pou2af1,Ebf1,5.4974859936563085
Anxa1,Ggt1,5.497269382782303
Tcf7l2,Prkar2b,5.496727300321758
Dnmt3a,Rasa4,5.494135847069286
Irf7,Oit1,5.491132054619192
Id1,Ggt1,5.488486411394372
Dnmt3a,Ctss,5.4847616366214345
Bhlhe41,Cndp2,5.4824737674615625
H2afz,Pdlim1,5.480916232231875
Mafb,C1qb,5.480363529002824
Bhlhe41,Stra6l,5.471926199857453
Bhlhe41,Gpnmb,5.470535348977771
Irf8,Gatm,5.4609277930217095
Mafb,Lat2,5.456521131083922
Nme1,Gzmb,5.449511369839932
H1fx,Esm1,5.444510229159598
Adarb1,Ear2,5.43950576956234
Dnmt3a,Gns,5.432418172427321
Bhlhe41,Canx,5.430518698703289
Bhlhe41,Lgals1,5.428329591319215
Irf8,Cyp4v3,5.42513299349814
Irf7,Dusp5,5.422358007508383
Zeb2,Cxcr1,5.4207457400989565
Tcf4,Mmp23,5.416979442879876
Atf5,Ank3,5.416379138571454
Ikzf2,Tgfbr3,5.414447303708007
Fhl2,Tnip3,5.410684779520106
Irf7,Phlda1,5.409923722019049
Irf8,Plod3,5.4082002067393695
Id1,Mxd3,5.406431670437281
Pax5,Igkc,5.405069951759369
Foxm1,Stmn1,5.39608637224036
Nkx2-1,Myzap,5.392821417107764
